name,episodes,link
"Sei Yariman Gakuen Enkou Nikki The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982775627741609984/pl/P5rKoG3HG7IRaoWZ.m3u8"
"Saimin Gakuen (2018) Tập 2",1,"https://video.twimg.com/amplify_video/1982781055099678720/pl/gdVng0gsDO-CnrV9.m3u8"
"Joshi Luck! Tập 4",1,"https://video.twimg.com/amplify_video/1982780329925431296/pl/x1Y8x8Z1gCl53Qky.m3u8"
"Soshite Watashi wa Sensei ni Tập 4",1,"https://video.twimg.com/amplify_video/1982774562078044160/pl/0-UtNjTrjsEm1-lm.m3u8"
"Joshi Luck! Tập 3",1,"https://video.twimg.com/amplify_video/1982780330311385088/pl/5TdDF-jenqBP1x4-.m3u8"
"Ikkyuu Nyuukon Tập 3",1,"https://video.twimg.com/amplify_video/1982773270706294784/pl/684AFEl9zlFh2ZWR.m3u8"
"Zettai Junshu Kyousei Kozukuri Kyokashou!! Tập 2",1,"https://video.twimg.com/amplify_video/1982773448083488768/pl/3gO-_xG7JX-kn4mK.m3u8"
"Ikkyuu Nyuukon Tập 4",1,"https://video.twimg.com/amplify_video/1982772387373281280/pl/JxZFKwfwFkoyNeoZ.m3u8"
"Kuro Ai Hitoyozumakan Inkou Rannyuuroku Tập 2",1,"https://video.twimg.com/amplify_video/1982774820224806912/pl/unR_T98BQ-tI7Dom.m3u8"
"Saimin Gakuen (2018) Tập 1",1,"https://video.twimg.com/amplify_video/1982781130542620672/pl/1VTpCnTV8yoaauFg.m3u8"
"Saimin Gakuen (2018) Tập 3",1,"https://video.twimg.com/amplify_video/1982781038716731392/pl/AVB76oJP-ncK2Tm_.m3u8"
"JK Fuuzoku Gakuensai Tập 2",1,"https://video.twimg.com/amplify_video/1982775753734590464/pl/CsX6BWZoWdHRy_ii.m3u8"
"Ikkyuu Nyuukon Tập 1",1,"https://video.twimg.com/amplify_video/1982773999038873600/pl/_kTT4jp1XhBSdi82.m3u8"
"Gibomai Tập 2",1,"https://video.twimg.com/amplify_video/1982778109821931520/pl/ghShD8Nv0JEb2Xz6.m3u8"
"Bonyuu-chan wa Dashitai. Tập 4",1,"https://video.twimg.com/amplify_video/1982778641210867712/pl/EXiXAZw1XRPpiMc4.m3u8"
"Yareruko! Densha Ecchi Tập 2",1,"https://video.twimg.com/amplify_video/1982784934067499008/pl/ORyI2j2P8We8BLpD.m3u8"
"Honoo no Haramase Oppai: Ero Appli Gakuen The Animation Tập 2",1,"https://video.twimg.com/amplify_video/1982989344005566464/pl/2Bswk8xe4yzPuDhH.m3u8"
"Ano Danchi no Tsuma-tachi wa The Animation Tập 2",1,"https://video.twimg.com/amplify_video/1982777638398902272/pl/VPXOj-ztY9trj0sR.m3u8"
"Meikoku Gakuen: Jutai-hen Tập 2",1,"https://video.twimg.com/amplify_video/1982992870945779712/pl/phll0CEV4CSf4atb.m3u8"
"Mesudachi The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982784708783083520/pl/ovoIFEI65T-0LEOy.m3u8"
"Yareruko! Densha Ecchi Tập 1",1,"https://video.twimg.com/amplify_video/1982785024693805056/pl/fjUkjIo5Jr3sBG5o.m3u8"
"JK Bitch ni Shiboraretai Tập 2",1,"https://video.twimg.com/amplify_video/1982999326528811008/pl/zm7Kdgmkbuso-F2i.m3u8"
"Kutsujoku Tập 1",1,"https://video.twimg.com/amplify_video/1982783040939335680/pl/Q3L2bsujLiywvsGE.m3u8"
"Kimi wa Yasashiku Netorareru The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982989343347113984/pl/5XV_hD2bcgYd9U2_.m3u8"
"Ano Danchi no Tsuma-tachi wa The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982777765607940096/pl/sopVzj3LIapH-11J.m3u8"
"Shikijou Kyoudan Tập 2",1,"https://video.twimg.com/amplify_video/1982997942773403648/pl/DL2zvCz-u9rY2SDz.m3u8"
"Kutsujoku Tập 2",1,"https://video.twimg.com/amplify_video/1982783041442562048/pl/Rz4z1C66fUwnut5n.m3u8"
"Love Selection The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982992619287326720/pl/ZwFJ1RPoQk9Sgad3.m3u8"
"Honoo no Haramase Oppai: Ero Appli Gakuen The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982989344429182976/pl/5XvO5wzhh8EW_obM.m3u8"
"Kutsujoku 2 The Animation Tập 1",1,"https://video.twimg.com/amplify_video/1982783041132175360/pl/Qo0rou9Y-TQUQ1yz.m3u8"
"Ijirare: Fukushuu Saimin Tập 4",1,"https://video.twimg.com/amplify_video/1983003603162828800/pl/ygMJHI2uTCdoKwiA.m3u8"
"Mama Katsu: Midareru Mama-tachi no Himitsu Tập 2",1,"https://video.twimg.com/amplify_video/1982786188743225344/pl/2TuIlX1z3Ein7MpV.m3u8"
"Oshaburi Announcer Tập 1",1,"https://video.twimg.com/amplify_video/1982989343649140736/pl/huHjmMOHvJGInwne.m3u8"
